"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Apr-2024","EQ","271.90","272.50","265.00","272.00","265.60","265.70","268.18","284.95","150.00","2,18,94,584","5,87,17,75,873.95","2,12,422"
"10-Apr-2024","EQ","269.95","273.20","269.15","268.95","272.10","272.00","271.99","284.95","150.00","1,11,37,195","3,02,91,72,199.10","86,426"
"09-Apr-2024","EQ","270.00","272.65","268.00","270.40","269.15","268.95","269.73","284.95","150.00","1,31,73,933","3,55,34,61,935.20","83,653"
"08-Apr-2024","EQ","267.55","272.00","266.60","267.95","270.10","270.40","269.10","284.95","150.00","1,30,11,300","3,50,13,76,948.70","1,02,531"
"05-Apr-2024","EQ","267.85","271.90","266.50","269.00","268.10","267.95","268.89","284.95","150.00","1,30,29,904","3,50,36,44,446.95","1,88,256"
"04-Apr-2024","EQ","278.65","278.65","265.35","275.35","269.50","269.00","270.38","284.95","150.00","2,46,24,383","6,65,78,78,376.35","2,58,419"
"03-Apr-2024","EQ","275.05","279.00","273.85","272.50","275.65","275.35","276.18","284.95","150.00","2,26,00,929","6,24,19,08,539.05","1,87,465"
"02-Apr-2024","EQ","270.10","274.05","269.45","269.90","272.55","272.50","271.80","284.95","150.00","1,44,39,120","3,92,44,83,153.30","80,413"
"01-Apr-2024","EQ","268.05","271.50","267.80","268.05","270.00","269.90","269.98","284.95","150.00","64,40,401","1,73,87,62,994.20","96,652"
"28-Mar-2024","EQ","262.45","271.00","261.95","261.75","268.50","268.05","267.34","284.95","146.50","1,88,88,942","5,04,98,51,448.30","1,32,751"
"27-Mar-2024","EQ","265.00","268.20","259.65","265.50","265.30","261.75","262.66","284.95","146.50","2,85,63,001","7,50,24,04,525.00","1,25,003"
"26-Mar-2024","EQ","261.65","267.90","259.30","263.25","265.25","265.50","265.32","284.95","146.50","1,08,30,926","2,87,36,21,596.65","93,743"
"22-Mar-2024","EQ","262.95","265.25","258.45","262.95","263.35","263.25","262.27","284.95","146.50","1,30,25,089","3,41,60,99,260.80","1,34,260"
"21-Mar-2024","EQ","264.70","266.95","262.35","263.85","263.15","262.95","263.84","284.95","146.50","1,21,63,200","3,20,91,60,040.95","1,36,453"
"20-Mar-2024","EQ","259.45","264.60","257.20","259.25","263.25","263.85","261.37","284.95","146.50","1,04,84,778","2,74,03,99,154.20","99,782"
"19-Mar-2024","EQ","262.00","263.95","256.65","261.60","259.05","259.25","259.81","284.95","146.50","87,58,348","2,27,54,97,063.45","91,436"
"18-Mar-2024","EQ","258.95","263.05","257.55","258.75","262.10","261.60","261.35","284.95","146.50","92,46,173","2,41,65,13,039.50","96,871"
"15-Mar-2024","EQ","263.95","266.40","248.90","263.25","259.25","258.75","255.90","284.95","146.50","3,49,61,065","8,94,66,84,369.80","2,05,929"
"14-Mar-2024","EQ","252.50","264.35","251.20","255.35","263.95","263.25","258.32","284.95","146.50","2,14,04,057","5,52,89,93,149.80","1,74,756"
"13-Mar-2024","EQ","270.80","271.00","252.75","270.40","256.10","255.35","259.71","284.95","146.50","2,00,79,496","5,21,49,06,633.45","1,90,522"
"12-Mar-2024","EQ","274.00","275.60","269.05","274.00","270.05","270.40","271.57","284.95","146.50","1,37,80,189","3,74,22,87,072.75","1,08,045"
"11-Mar-2024","EQ","278.10","280.50","273.20","278.10","273.90","274.00","275.96","284.95","146.50","1,06,84,598","2,94,84,74,295.05","1,07,841"
"07-Mar-2024","EQ","280.25","284.35","277.25","280.25","279.00","278.10","280.23","284.95","146.50","1,13,86,963","3,19,09,82,245.70","95,048"
"06-Mar-2024","EQ","284.30","284.30","273.55","283.75","280.50","280.25","278.09","284.95","146.50","1,68,07,149","4,67,38,98,020.70","1,20,081"
"05-Mar-2024","EQ","280.00","284.95","276.65","279.20","283.45","283.75","281.47","284.95","146.50","1,85,44,484","5,21,97,87,058.60","1,46,014"
"04-Mar-2024","EQ","272.75","280.55","272.50","271.90","279.20","279.20","277.54","281.15","146.50","2,22,80,353","6,18,36,19,822.20","1,89,150"
"02-Mar-2024","EQ","272.00","272.90","271.35","270.55","271.40","271.90","272.04","281.15","146.50","8,64,693","23,52,32,371.70","7,967"
"01-Mar-2024","EQ","266.50","272.95","266.50","264.60","271.00","270.55","270.60","281.15","146.50","1,29,30,057","3,49,89,23,482.85","1,46,203"
"29-Feb-2024","EQ","265.00","266.35","261.50","265.75","265.60","264.60","264.07","281.15","146.50","1,71,79,832","4,53,66,77,027.10","1,23,020"
"28-Feb-2024","EQ","270.00","270.30","264.60","269.35","264.95","265.75","266.74","281.15","146.50","91,18,196","2,43,21,69,458.90","99,185"
"27-Feb-2024","EQ","268.05","270.20","264.95","269.85","269.75","269.35","267.84","281.15","146.50","1,95,82,774","5,24,49,66,053.40","1,13,618"
"26-Feb-2024","EQ","271.90","271.90","267.80","272.20","269.75","269.85","269.80","281.15","146.50","86,61,999","2,33,69,82,261.60","91,475"
"23-Feb-2024","EQ","274.90","276.00","271.10","274.70","271.70","272.20","273.06","281.15","146.50","94,64,646","2,58,43,74,367.75","77,464"
"22-Feb-2024","EQ","273.85","276.00","268.50","272.95","274.90","274.70","271.96","281.15","146.50","1,67,91,453","4,56,66,41,585.55","1,77,762"
"21-Feb-2024","EQ","276.00","281.10","271.60","276.60","273.00","272.95","277.01","281.15","146.50","1,63,40,579","4,52,64,84,543.60","1,32,598"
"20-Feb-2024","EQ","274.80","281.15","274.05","274.65","277.00","276.60","277.20","281.15","146.50","1,89,68,785","5,25,81,55,316.50","1,33,246"
"19-Feb-2024","EQ","274.70","279.05","272.40","274.70","274.55","274.65","276.23","279.85","146.50","1,53,22,964","4,23,26,20,739.70","98,459"
"16-Feb-2024","EQ","275.15","278.00","270.35","277.30","274.70","274.70","274.33","279.85","145.50","2,70,44,984","7,41,92,47,412.55","1,78,880"
"15-Feb-2024","EQ","271.65","279.85","269.00","268.85","276.45","277.30","276.57","279.85","145.50","3,28,31,246","9,08,00,52,613.95","2,14,318"
"14-Feb-2024","EQ","258.00","269.65","256.00","259.50","269.15","268.85","263.65","275.65","145.50","3,61,68,962","9,53,58,67,552.20","1,41,452"
"13-Feb-2024","EQ","258.00","262.40","254.70","257.90","259.80","259.50","258.98","275.65","145.50","2,07,11,842","5,36,39,53,894.75","1,33,188"
"12-Feb-2024","EQ","261.95","266.60","256.80","267.55","257.75","257.90","260.41","275.65","145.50","3,09,06,374","8,04,83,02,144.15","2,04,731"
"09-Feb-2024","EQ","275.00","275.65","259.15","273.15","268.10","267.55","265.80","275.65","141.60","2,67,43,792","7,10,86,00,362.40","2,57,318"
"08-Feb-2024","EQ","273.05","275.65","269.10","271.90","273.60","273.15","272.38","275.65","141.60","2,52,52,940","6,87,82,80,218.60","2,25,271"
"07-Feb-2024","EQ","275.00","275.65","267.55","272.30","272.75","271.90","271.34","275.65","141.60","2,37,56,939","6,44,61,62,746.35","2,07,931"
"06-Feb-2024","EQ","265.35","273.40","260.20","262.95","272.45","272.30","269.34","273.40","141.60","3,67,08,949","9,88,72,20,146.05","2,06,988"
"05-Feb-2024","EQ","260.05","268.05","255.10","257.25","263.50","262.95","263.03","268.05","141.60","3,40,01,868","8,94,34,68,813.00","2,32,621"
"02-Feb-2024","EQ","250.00","260.00","249.00","247.65","257.15","257.25","255.43","263.30","140.10","3,04,82,663","7,78,62,28,238.85","1,99,571"
"01-Feb-2024","EQ","254.65","254.65","245.45","252.25","247.90","247.65","249.22","263.30","140.10","2,97,58,133","7,41,62,04,440.65","1,72,567"
"31-Jan-2024","EQ","250.45","254.35","246.30","249.20","253.15","252.25","250.77","263.30","140.10","3,32,93,192","8,34,90,73,076.55","1,90,907"
"30-Jan-2024","EQ","256.50","263.30","248.65","252.50","249.40","249.20","256.35","263.30","140.10","5,14,91,099","13,19,95,22,681.10","3,26,147"
"29-Jan-2024","EQ","241.00","254.95","239.10","234.05","254.85","252.50","249.26","254.95","140.10","5,41,27,939","13,49,18,21,460.80","3,76,208"
"25-Jan-2024","EQ","235.00","237.50","232.80","234.35","234.40","234.05","234.77","245.65","140.10","1,82,91,957","4,29,43,93,741.35","1,38,269"
"24-Jan-2024","EQ","231.00","235.00","228.10","229.90","234.85","234.35","231.95","245.65","140.10","1,44,58,601","3,35,36,89,481.10","1,22,475"
"23-Jan-2024","EQ","245.00","245.65","228.00","242.05","231.00","229.90","234.91","245.65","140.10","2,02,82,617","4,76,46,86,638.10","1,69,363"
"20-Jan-2024","EQ","243.00","245.45","240.45","242.05","241.90","242.05","242.68","245.45","140.10","1,51,33,785","3,67,26,85,038.50","93,146"
"19-Jan-2024","EQ","236.00","242.55","235.00","233.55","241.85","242.05","240.05","242.55","140.10","2,63,91,844","6,33,52,52,378.75","1,76,909"
"18-Jan-2024","EQ","230.05","234.50","224.65","232.05","233.90","233.55","230.91","238.95","140.10","1,92,32,183","4,44,09,43,700.25","1,54,268"
"17-Jan-2024","EQ","232.20","237.25","230.70","235.10","232.80","232.05","233.81","238.95","140.10","2,60,10,955","6,08,17,03,490.25","1,78,364"
"16-Jan-2024","EQ","234.95","238.95","231.10","233.50","234.80","235.10","235.60","238.95","140.10","3,45,05,065","8,12,92,47,584.20","2,66,721"
"15-Jan-2024","EQ","228.50","235.45","224.65","223.40","233.00","233.50","231.51","235.45","140.10","5,78,84,916","13,40,11,20,405.25","3,09,056"
